Province_Code,Province_Name,District_Code,District_Name,DSD_Code,DSD_Name,GND_Code,GND_Name,AG_0_14,AG_15_59,AG_60_64,AG_65_and_above,Male,Female,Total,Occupied_Housing_Units,Poverty_Percentage,Unemployment_Rate,Road_Density,Road_Length
1,Western,11,Colombo,9,Kaduwela,100,Dedigamuwa,472,1641,133,330,1253,1323,2576,755,12.5,6.05,4.673320509,10.78648881
1,Western,11,Colombo,12,Homagama,250,Deepangoda,633,2526,211,424,1817,1977,3794,1069,11.5,6.25,6.303624828,10.12531912
1,Western,11,Colombo,30,Dehiwala,45,Dehiwala East,1320,5552,397,993,3704,4558,8262,1984,6.49,4.64,16.04584394,7.645727485
1,Western,11,Colombo,30,Dehiwala,40,Dehiwala West,1062,4281,402,1301,3380,3666,7046,2210,4,2.75,22.65825125,11.26719594
1,Western,11,Colombo,36,Kesbewa,305,Delthara East,300,1020,97,258,818,857,1675,443,13.5,7.7,2.270973001,1.858626544
1,Western,11,Colombo,36,Kesbewa,300,Delthara West,473,1522,96,288,1179,1200,2379,640,12.79,7.7,3.969345777,2.506013899
1,Western,11,Colombo,27,Thimbirigasyaya,30,Dematagoda,4308,13730,1145,2070,10522,10731,21253,5311,8.8,4.88,11.59480269,8.886071071
1,Western,11,Colombo,21,Maharagama,65,Depanama,1113,4931,447,1336,3720,4107,7827,2253,8.16,4.32,10.33503383,19.83157651
1,Western,11,Colombo,15,Seethawaka,265,Diddeniya North,319,1105,99,220,836,907,1743,480,22.16,7.67,3.391850809,8.059039359
1,Western,11,Colombo,15,Seethawaka,295,Diddeniya South,275,805,96,172,643,705,1348,404,21.66,6.2,2.5267922,6.601825477
1,Western,11,Colombo,15,Seethawaka,235,Digana,382,1061,70,177,822,868,1690,488,23.26,8.33,6.284235093,15.69583184
1,Western,11,Colombo,36,Kesbewa,15,Divulpitiya East,308,1363,137,328,1037,1099,2136,641,7.6,4.15,16.39403335,5.625330385
1,Western,11,Colombo,36,Kesbewa,20,Divulpitiya West,426,1855,186,468,1411,1524,2935,842,9.82,5.28,13.27150454,6.398830483
1,Western,11,Colombo,12,Homagama,295,Diyagama East,335,1306,137,290,1025,1043,2068,585,11.18,5.98,3.491065763,4.022173016
1,Western,11,Colombo,12,Homagama,300,Diyagama West,374,2468,123,289,1743,1511,3254,640,7.15,7.69,5.239885074,10.14205065
1,Western,11,Colombo,6,Kolonnawa,230,Dodamgahahena,438,2177,212,574,1674,1727,3401,1012,9.91,3.32,19.83739042,4.823676072
1,Western,11,Colombo,12,Homagama,290,Dolahena,982,3667,243,587,2706,2773,5479,1534,11.04,6.71,7.749743536,19.89247528
1,Western,11,Colombo,30,Dehiwala,15,Dutugemunu,529,2268,266,891,1837,2117,3954,1150,4.84,2.61,14.85839594,10.72261451
1,Western,11,Colombo,33,Moratuwa,205,Egoda Uyana Central,496,1675,153,396,1385,1335,2720,731,14.07,5.22,13.58756024,5.942065667
1,Western,11,Colombo,33,Moratuwa,200,Egoda Uyana North,864,2893,268,525,2162,2388,4550,1226,17.01,5.47,11.15762088,5.933624384
1,Western,11,Colombo,33,Moratuwa,210,Egoda Uyana South,1087,2975,229,476,2396,2371,4767,1145,18.9,6.72,12.20521246,5.288505042
1,Western,11,Colombo,15,Seethawaka,160,Egodagama,309,1004,91,212,799,817,1616,435,23.33,8.52,16.34752307,8.610662418
1,Western,11,Colombo,36,Kesbewa,45,Egodawatta,269,2638,126,386,1661,1758,3419,889,6.5,5.79,41.00094119,4.944849966
1,Western,11,Colombo,15,Seethawaka,300,Elamalawala,108,411,40,75,320,314,634,189,15.68,5.29,0.613957698,0.769987139
1,Western,11,Colombo,6,Kolonnawa,225,Elhena,355,1376,134,322,1054,1133,2187,624,12.23,4.11,11.90910136,10.32966119
1,Western,11,Colombo,9,Kaduwela,105,Embilladeniya,399,1558,135,297,1139,1250,2389,664,12.85,6.38,9.512368654,9.206880144
1,Western,11,Colombo,36,Kesbewa,110,Erewwala East,430,1678,187,396,1349,1342,2691,808,7.32,4.42,7.585259418,4.650306291
1,Western,11,Colombo,36,Kesbewa,105,Erewwala North,790,3133,276,639,2348,2490,4838,1360,9.9,6.09,6.915795472,7.121430791
1,Western,11,Colombo,36,Kesbewa,100,Erewwala West,946,4156,414,1020,3119,3417,6536,1916,9.11,4.73,11.0871098,13.38308709
1,Western,11,Colombo,15,Seethawaka,25,Eswatta North,348,1143,113,295,925,974,1899,522,23.77,7.79,2.559244954,11.24556486
1,Western,11,Colombo,15,Seethawaka,65,Eswatta South,335,1109,99,278,880,941,1821,527,21.99,6.74,1.482141828,3.428258097
1,Western,11,Colombo,24,Sri Jayawardanapura Kotte,45,Ethulkotte,653,3298,399,996,2591,2755,5346,1707,4.82,3,15.3249748,14.48378009
1,Western,11,Colombo,24,Sri Jayawardanapura Kotte,40,Ethulkotte West,417,2086,229,604,1584,1752,3336,958,6.46,3.86,13.08547124,8.477365315
1,Western,11,Colombo,9,Kaduwela,230,Evarihena,437,1946,179,426,1432,1556,2988,862,11.26,5.4,7.817946535,8.700517507
1,Western,11,Colombo,3,Colombo,120,Fort,146,596,22,35,470,329,799,171,10.97,5.28,46.66377336,50.51474882
1,Western,11,Colombo,6,Kolonnawa,215,Gajabapura,439,1583,134,339,1268,1227,2495,630,12.58,5.56,7.451540651,43.49909835
1,Western,11,Colombo,18,Padukka,75,Galagedara East,611,2016,154,355,1526,1610,3136,836,20.85,9.1,6.867625823,8.087179281
1,Western,11,Colombo,18,Padukka,80,Galagedara North,426,1633,118,334,1225,1286,2511,687,16.51,7.25,8.118768683,6.62337734
1,Western,11,Colombo,18,Padukka,85,Galagedara South,225,952,96,215,744,744,1488,424,11.05,4.5,4.516422093,4.435821712
1,Western,11,Colombo,12,Homagama,130,Galavilawatta North,469,2219,209,630,1681,1846,3527,1026,11.86,5.19,11.51342221,10.99157493
1,Western,11,Colombo,12,Homagama,195,Galavilawatta South,462,2170,202,557,1604,1787,3391,1042,9.61,3.9,10.57871296,9.159736584
1,Western,11,Colombo,3,Colombo,125,Galle Face,637,2141,163,389,1712,1618,3330,820,13.53,4.11,9.607787815,5.482623045
1,Western,11,Colombo,30,Dehiwala,35,Galwala,1112,3834,315,740,2943,3058,6001,1500,6.05,4.77,17.59543136,8.071356081
1,Western,11,Colombo,18,Padukka,105,Ganegoda,259,867,83,159,683,685,1368,391,14.82,6.72,20.45567394,27.78157692
1,Western,11,Colombo,24,Sri Jayawardanapura Kotte,100,Gangodavila East,231,1409,159,494,1084,1209,2293,746,4.42,2.56,13.82072437,7.755626324
1,Western,11,Colombo,24,Sri Jayawardanapura Kotte,90,Gangodavila North,456,2431,281,775,1801,2142,3943,1191,6.08,3.3,15.7880968,10.24418886
1,Western,11,Colombo,24,Sri Jayawardanapura Kotte,95,Gangodavila South,772,4377,427,1189,3270,3495,6765,1992,5.27,3.58,13.04824944,12.02722878
1,Western,11,Colombo,21,Maharagama,200,Gangodavila South B,644,5655,316,780,2576,4819,7395,1609,7.14,4.44,10.75919229,10.06348857
1,Western,11,Colombo,12,Homagama,160,Gehenuwala,311,1228,106,316,919,1042,1961,571,12.87,5.47,8.82347863,7.92601876
